,FinalType,Competitors,NOC,Time,500 m,"1,000 m","1,500 m","500-1,000 m","1,000-1,500 m","1,500-2,000 m",Rank,Boat,Year,City
6,Final A,Australia,AUS,5:44.68,1:24.60,2:52.49,4:19.84,1:27.89,1:27.35,1:24.84,4,M4x,2008,Shunyi
8,Final A,United States,USA,5:47.64,1:24.88,2:55.18,4:22.61,1:30.30,1:27.43,1:25.03,5,M4x,2008,Shunyi
10,Final A,Germany,GER,5:50.96,1:23.87,2:51.55,4:21.52,1:27.68,1:29.97,1:29.44,6,M4x,2008,Shunyi
0,Final B,Russian Federation,RUS,5:46.17,1:23.41,2:50.70,4:19.41,1:27.29,1:28.71,1:26.76,7,M4x,2008,Shunyi
2,Final B,Ukraine,UKR,5:47.89,1:25.17,2:52.88,4:21.94,1:27.71,1:29.06,1:25.95,8,M4x,2008,Shunyi
4,Final B,Estonia,EST,5:48.12,1:26.59,2:54.28,4:21.72,1:27.69,1:27.44,1:26.40,9,M4x,2008,Shunyi
6,Final B,Czech Republic,CZE,5:50.07,1:26.97,2:55.58,4:24.60,1:28.61,1:29.02,1:25.47,10,M4x,2008,Shunyi
8,Final B,Belarus,BLR,5:50.74,1:26.16,2:55.80,4:25.12,1:29.64,1:29.32,1:25.62,11,M4x,2008,Shunyi
10,Final B,Cuba,CUB,5:52.66,1:25.83,2:54.05,4:23.68,1:28.22,1:29.63,1:28.98,12,M4x,2008,Shunyi
0,Final A,Germany,GER,5:42.48,1:24.16,2:51.61,4:18.30,1:27.45,1:26.69,1:24.18,1,M4x,2012,Windsor
2,Final A,Croatia,CRO,5:44.78,1:25.02,2:52.56,4:20.25,1:27.54,1:27.69,1:24.53,2,M4x,2012,Windsor
4,Final A,Australia,AUS,5:45.22,1:25.41,2:53.03,4:21.77,1:27.62,1:28.74,1:23.45,3,M4x,2012,Windsor
6,Final A,Estonia,EST,5:46.96,1:25.60,2:53.55,4:22.02,1:27.95,1:28.47,1:24.94,4,M4x,2012,Windsor
8,Final A,Great Britain,GBR,5:49.19,1:25.22,2:52.79,4:22.45,1:27.57,1:29.66,1:26.74,5,M4x,2012,Windsor
10,Final A,Poland,POL,5:51.74,1:25.64,2:54.28,4:22.70,1:28.64,1:28.42,1:29.04,6,M4x,2012,Windsor
0,Final B,New Zealand,NZL,5:58.88,1:26.95,2:57.59,4:29.51,1:30.64,1:31.92,1:29.37,7,M4x,2012,Windsor
2,Final B,Russian Federation,RUS,5:59.17,1:25.62,2:56.42,4:27.96,1:30.80,1:31.54,1:31.21,8,M4x,2012,Windsor
4,Final B,Ukraine,UKR,6:01.23,1:25.28,2:57.93,4:30.87,1:32.65,1:32.94,1:30.36,9,M4x,2012,Windsor
6,Final B,France,FRA,6:02.12,1:27.39,2:59.26,4:31.19,1:31.87,1:31.93,1:30.93,10,M4x,2012,Windsor
8,Final B,Italy,ITA,6:02.57,1:28.17,3:00.29,4:32.27,1:32.12,1:31.98,1:30.30,11,M4x,2012,Windsor
10,Final B,Switzerland,SUI,6:04.37,1:28.52,3:00.01,4:31.98,1:31.49,1:31.97,1:32.39,12,M4x,2012,Windsor
0,Final A,Germany,GER,6:06.81,1:28.82,3:00.78,4:34.58,1:31.96,1:33.80,1:32.23,1,M4x,2016,RiodeJaneiro
2,Final A,Australia,AUS,6:07.96,1:30.23,3:02.74,4:35.96,1:32.51,1:33.22,1:32.00,2,M4x,2016,RiodeJaneiro
4,Final A,Estonia,EST,6:10.65,1:30.37,3:03.19,4:36.85,1:32.82,1:33.66,1:33.80,3,M4x,2016,RiodeJaneiro
6,Final A,Poland,POL,6:12.09,1:30.81,3:04.01,4:37.79,1:33.20,1:33.78,1:34.30,4,M4x,2016,RiodeJaneiro
8,Final A,Great Britain,GBR,6:13.08,1:30.18,3:03.74,4:38.24,1:33.56,1:34.50,1:34.84,5,M4x,2016,RiodeJaneiro
10,Final A,Ukraine,UKR,6:16.30,1:30.16,3:04.50,4:39.60,1:34.34,1:35.10,1:36.70,6,M4x,2016,RiodeJaneiro
0,Final B,Switzerland,SUI,6:11.18,1:31.95,3:05.75,4:40.17,1:33.80,1:34.42,1:31.01,7,M4x,2016,RiodeJaneiro
2,Final B,Canada,CAN,6:13.55,1:30.20,3:04.91,4:40.35,1:34.71,1:35.44,1:33.20,8,M4x,2016,RiodeJaneiro
4,Final B,Lithuania,LTU,6:15.16,1:29.65,3:04.96,4:42.76,1:35.31,1:37.80,1:32.40,9,M4x,2016,RiodeJaneiro
6,Final B,New Zealand,NZL,6:18.92,1:34.40,3:10.95,4:46.01,1:36.55,1:35.06,1:32.91,10,M4x,2016,RiodeJaneiro
0,Final A,Netherlands,NED,5:32.03,1:23.69,2:47.17,4:10.24,1:23.48,1:23.07,1:21.79,1,M4x,2021,Japan
2,Final A,Great Britain,GBR,5:33.75,1:22.65,2:46.89,4:10.59,1:24.24,1:23.70,1:23.16,2,M4x,2021,Japan
4,Final A,Australia,AUS,5:33.97,1:23.84,2:47.55,4:11.78,1:23.71,1:24.23,1:22.19,3,M4x,2021,Japan
6,Final A,Poland,POL,5:34.27,1:23.62,2:48.01,4:11.63,1:24.39,1:23.62,1:22.64,4,M4x,2021,Japan
8,Final A,Italy,ITA,5:37.29,1:22.95,2:48.09,4:12.77,1:25.14,1:24.68,1:24.52,5,M4x,2021,Japan
10,Final A,Estonia,EST,5:38.58,1:24.05,2:49.29,4:13.77,1:25.24,1:24.48,1:24.81,6,M4x,2021,Japan
0,Final B,People's Republic of China,CHN,5:46.07,1:25.20,2:52.70,4:20.14,1:27.50,1:27.44,1:25.93,7,M4x,2021,Japan
2,Final B,Germany,GER,5:46.78,1:27.13,2:55.39,4:23.18,1:28.26,1:27.79,1:23.60,8,M4x,2021,Japan
4,Final B,Norway,NOR,5:47.34,1:27.17,2:54.54,4:21.80,1:27.37,1:27.26,1:25.54,9,M4x,2021,Japan
6,Final B,Lithuania,LTU,5:51.64,1:27.48,2:56.82,4:24.37,1:29.34,1:27.55,1:27.27,10,M4x,2021,Japan
0,Final A,East Germany,GDR,6:21.06,1:29.19,3:07.54,4:45.82,1:38.35,1:38.28,1:35.24,1,W4x,1988,Hanam
2,Final A,Soviet Union,URS,6:23.47,1:31.51,3:10.34,4:49.66,1:38.83,1:39.32,1:33.81,2,W4x,1988,Hanam
4,Final A,Romania,ROU,6:23.81,1:29.87,3:07.99,4:45.22,1:38.12,1:37.23,1:38.59,3,W4x,1988,Hanam
6,Final A,Bulgaria,BUL,6:24.10,1:32.60,3:10.05,4:47.78,1:37.45,1:37.73,1:36.32,4,W4x,1988,Hanam
